YM	SUBSCTN_ID	SUBSCTN_START_DT	NP_IN	TENURE	DT1_DATA_RTD_DUR	DT1_DATA_RTD_DWN_PACK	DT1_DATA_RTD_UP_PACK	DT1_DATA_RTD_CNT	DT2_DATA_RTD_DUR	DT2_DATA_RTD_DWN_PACK	DT2_DATA_RTD_UP_PACK	DT2_DATA_RTD_CNT	DT3_DATA_RTD_DUR	DT3_DATA_RTD_DWN_PACK	DT3_DATA_RTD_UP_PACK	DT3_DATA_RTD_CNT	VO1_MIN	VO1_CNT	VO1_PTYCNT	VO1_CHTMIN	VO1_TWMMIN	VO1_FETMIN	VO1_CHTCNT	VO1_TWMCNT	VO1_FETCNT	VO1_CHTPTYCNT	VO1_TWMPTYCNT	VO1_FETPTYCNT	VO2_MIN	VO2_CNT	VO2_PTYCNT	VO2_CHTMIN	VO2_TWMMIN	VO2_FETMIN	VO2_CHTCNT	VO2_TWMCNT	VO2_FETCNT	VO2_CHTPTYCNT	VO2_TWMPTYCNT	VO2_FETPTYCNT	VO3_MIN	VO3_CNT	VO3_PTYCNT	VO3_CHTMIN	VO3_TWMMIN	VO3_FETMIN	VO3_CHTCNT	VO3_TWMCNT	VO3_FETCNT	VO3_CHTPTYCNT	VO3_TWMPTYCNT	VO3_FETPTYCNT	SMS1_CNT	SMS2_CNT	SMS3_CNT	TENURE_MONTH_CNT	PREPAID_IND	GENDER_TYPE_CD	SUBSCTN_AGE	NTW_SERVICE_TYPE_CD	OFFER_SERVICE_TYPE_CD	OFFER_ID	BRANCH_CHANNEL_ID	SC_CHANNEL_ID	AGENT_CHANNEL_ID	MPRO_MEMBER_IND	NP_IN_IND	NP_FROM_CARRIER_CD	NP_OUT_IND	NP_TO_CARRIER_CD	HANDSET_RETN_CONTR_IND	HANDSET_CONTR_EXP_MONTH_CNT	HIST_HANDSET_CONTR_CNT	HIST_HANDSET_PURCHASE_CNT	AVG_HANDSET_PURCHASE_AMT	LAST_HANDSET_PURCHASE_AMT	OFFER_2GTO3G_IND	OFFER_3GTO2G_IND	OFFER_2GTO4G_IND	OFFER_3GTO4G_IND	OFFER_4GTO2G_IND	OFFER_4GTO3G_IND	VB1_TOT_PTYCNT	VB1_TOT_CNT	VB1_TOT_DUR	VB1_TWM_PTYCNT	VB1_TWM_CNT	VB1_TWM_DUR	VB1_FET_PTYCNT	VB1_FET_CNT	VB1_FET_DUR	VB1_VBT_PTYCNT	VB1_VBTCNT	VB1_VBTDUR	VB1_APW_PTYCNT	VB1_APW_CNT	VB1_APW_DUR	VB2_TOT_PTYCNT	VB2_TOT_CNT	VB2_TOT_DUR	VB2_TWM_PTYCNT	VB2_TWM_CNT	VB2_TWM_DUR	VB2_FET_PTYCNT	VB2_FET_CNT	VB2_FET_DUR	VB2_VBT_PTYCNT	VB2_VBTCNT	VB2_VBTDUR	VB2_APW_PTYCNT	VB2_APW_CNT	VB2_APW_DUR	VB3_TOT_PTYCNT	VB3_TOT_CNT	VB3_TOT_DUR	VB3_TWM_PTYCNT	VB3_TWM_CNT	VB3_TWM_DUR	VB3_FET_PTYCNT	VB3_FET_CNT	VB3_FET_DUR	VB3_VBT_PTYCNT	VB3_VBTCNT	VB3_VBTDUR	VB3_APW_PTYCNT	VB3_APW_CNT	VB3_APW_DUR
201603	8687028	2006/12/27	遠傳	112	12305.82	8532348.835938	2961481.179688	224.00	13670.58	13031466.445313	811085.218750	272.00	16850.47	11519646.562500	1108157.093750	268.00	0.18	9.00	6	0.11	0.01	?	3.00	1.00	?	1	1	?	0.63	24.00	8	0.25	0.28	?	9.00	8.00	?	6	2	?	0.69	23.00	15	0.27	0.02	0.03	3.00	2.00	2.00	3	2	1	?	3.00	2.00	112	N	2	27	J	K	A003	2422	264	?	N	Y	TWM	Y	FE4	N	-1	2	3	15096.67	22500.00	Y	Y	N	Y	N	N	3	5.00	3.58	0	?	?	2	2.00	1.20	0	?	?	1	3.00	2.38	2	2.00	0.29	0	?	?	1	1.00	0.17	1	1.00	0.12	0	?	?	4	4.00	2.54	2	2.00	2.02	1	1.00	0.02	1	1.00	0.50	0	?	?
201603	10558817	2009/8/15	遠傳	79	?	?	?	?	?	?	?	?	?	?	?	?	0.08	6.00	3	0.05	?	?	4.00	?	?	2	?	?	0.27	17.00	3	0.06	0.01	0.01	2.00	6.00	2.00	2	1	2	0.08	15.00	6	0.01	0.02	0.00	2.00	5.00	1.00	1	2	1	6.00	9.00	5.00	79	N	2	47	5	5	5	39	?	SA	N	N	?	Y	FE4	N	-1	0	0	0.00	0.00	?	?	?	?	?	?	7	3.00	1.07	4	1.00	0.27	2	2.00	0.80	0	?	?	1	?	0.00	10	9.00	4.67	2	3.00	0.97	6	6.00	3.70	0	?	?	2	?	0.00	6	4.00	2.40	2	?	0.00	4	4.00	2.40	0	?	?	0	?	?
201603	13770702	2013/3/14	遠傳	36	30955.15	11163255.664063	5455790.335938	235.00	36964.18	41128884.914063	4136209.789063	273.00	39089.17	8579869.039063	1890515.968750	277.00	0.01	1.00	1	?	?	?	?	?	?	?	?	?	0.09	5.00	1	0.00	0.05	0.04	1.00	2.00	2.00	1	1	1	0.01	1.00	1	?	?	?	?	?	?	?	?	?	1.00	1.00	3.00	36	N	1	46	J	K	A004	22	27a	?	N	N	?	Y	FE4	N	-1	1	1	6990.00	6990.00	N	N	N	Y	N	N	1	2.00	1.10	0	?	?	1	2.00	1.10	0	?	?	0	?	?	6	11.00	20.73	4	7.00	17.88	2	4.00	2.85	0	?	?	0	?	?	2	4.00	18.55	1	1.00	2.43	1	3.00	16.12	0	?	?	0	?	?
201603	205465202	2008/5/13	遠傳	95	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	95	Y	2	49	I	9	5	41	42	SA	N	N	?	Y	FE4	N	-1	0	0	0.00	0.00	Y	Y	N	N	N	N	3	7.00	1.70	2	4.00	1.30	1	3.00	0.40	0	?	?	0	?	?	4	15.00	9.69	1	11.00	8.48	3	4.00	1.21	0	?	?	0	?	?	6	16.00	3.88	3	13.00	3.36	2	2.00	0.50	0	?	?	1	1.00	0.02
201603	407584140	2014/9/23	台灣之星	18	14780.07	170178669.460938	32961417.789063	102.00	17475.43	235882075.890625	25750760.414063	130.00	14435.05	183210888.992188	28163810.976563	117.00	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1.00	?	18	N	1	43	J	K	A004	71	73	?	N	Y	VBT	Y	TSC	Y	5	1	1	2990.00	2990.00	N	N	N	Y	N	N	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
201603	12225180	2011/8/15	台哥大	55	14731.72	5373050.710938	0.000000	133.00	27156.17	5304894.367188	0.000000	188.00	19835.25	3148506.875000	483272.890625	327.00	0.25	20.00	2	?	?	?	?	?	?	?	?	?	0.39	40.00	1	?	0.01	?	?	1.00	?	?	1	?	0.27	34.00	1	0.01	?	?	2.00	?	?	1	?	?	?	?	?	55	N	2	39	J	K	A001	22	2235	?	N	Y	TWM	Y	TW4	N	-1	0	0	0.00	0.00	N	N	N	Y	N	N	2	2.00	2.81	1	1.00	2.78	0	?	?	1	1.00	0.03	0	?	?	2	3.00	1.40	2	3.00	1.40	0	?	?	0	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
201603	401934546	2001/1/16	遠傳	184	41459.00	50866934.828125	2650872.320313	856.00	44402.78	131454608.968750	3401132.171875	948.00	44076.92	172824833.117188	3896598.546875	461.00	1.34	84.00	12	?	0.00	1.19	?	1.00	72.00	?	1	6	1.76	102.00	16	0.01	0.17	1.07	1.00	3.00	77.00	1	1	11	1.77	99.00	13	?	0.23	1.29	?	2.00	86.00	?	2	6	1.00	3.00	?	184	N	2	37	D	5	T	6	?	?	N	N	?	Y	FE4	N	-1	4	4	5240.00	6990.00	Y	Y	N	N	N	N	11	126.00	157.93	1	2.00	0.38	8	112.00	144.60	1	10.00	9.75	1	2.00	3.20	10	138.00	200.68	1	4.00	7.07	8	130.00	179.96	0	?	?	1	4.00	13.65	9	145.00	197.80	2	5.00	27.45	6	140.00	170.35	1	?	0.00	0	?	?
201603	15132476	2014/5/6	遠傳	23	6117.18	8089155.257813	741540.929688	308.00	5445.97	10629402.890625	902447.406250	318.00	6520.92	10551122.640625	934624.203125	401.00	0.50	53.00	16	0.36	0.02	0.06	27.00	4.00	11.00	8	2	5	0.57	56.00	19	0.45	?	0.05	38.00	?	5.00	16	?	2	1.08	61.00	23	0.70	0.04	0.18	34.00	1.00	12.00	11	1	5	?	?	?	23	N	2	47	D	5	5	3	?	SC	N	Y	TW3	Y	FE4	Y	7	1	1	0.00	0.00	?	?	?	?	?	?	13	23.00	10.10	4	8.00	2.12	9	15.00	7.98	0	?	?	0	?	?	13	17.00	11.83	2	3.00	1.28	9	11.00	7.88	1	1.00	0.02	1	2.00	2.65	6	12.00	7.04	0	?	?	4	8.00	4.91	0	?	?	2	4.00	2.13
201603	9278915	2007/11/20	遠傳	101	0.22	220.882813	107.843750	1.00	?	?	?	?	?	?	?	?	0.21	9.00	6	0.14	?	0.01	5.00	?	1.00	3	?	1	0.35	15.00	7	0.26	0.03	0.05	8.00	2.00	4.00	4	1	2	0.42	8.00	3	0.34	0.05	0.03	3.00	3.00	2.00	2	2	1	?	?	?	101	N	1	30	D	5	5	29	297	SA	N	Y	FET	Y	FE4	N	-1	1	1	10190.00	10190.00	?	?	?	?	?	?	2	2.00	4.68	0	?	?	2	2.00	4.68	0	?	?	0	?	?	2	3.00	2.32	1	2.00	2.12	0	?	?	1	1.00	0.20	0	?	?	2	5.00	9.53	1	3.00	8.08	1	2.00	1.45	0	?	?	0	?	?
201603	404291995	2005/2/27	遠傳	134	22771.73	4448273.773438	537186.468750	239.00	11386.08	2096613.085938	1115451.070313	166.00	13895.35	5312373.171875	1196729.781250	232.00	2.13	45.00	19	1.49	0.04	0.16	23.00	1.00	7.00	9	1	3	1.29	59.00	23	0.80	0.04	0.15	20.00	4.00	6.00	7	3	3	2.39	79.00	14	1.38	0.41	0.22	33.00	15.00	5.00	11	2	2	1.00	?	2.00	134	N	1	35	J	K	A003	6	?	?	N	N	?	Y	FE4	Y	5	4	5	2932.00	5990.00	Y	Y	N	Y	N	N	5	10.00	24.26	0	?	?	3	8.00	22.88	1	1.00	0.88	1	1.00	0.50	6	23.00	40.94	0	?	?	4	17.00	35.57	2	6.00	5.37	0	?	?	3	10.00	36.45	0	?	?	1	8.00	32.27	2	2.00	4.18	0	?	?
