YM		行為年月
SUBSCTN_ID	設備號
SUBSCTN_START_DT	設備開始日
NP_IN	本次NP業者
TENURE	租期(月)
DT1_DATA_RTD_DUR	前1月上網分鐘數
DT1_DATA_RTD_DWN_PACK	前1月上網下載封包
DT1_DATA_RTD_UP_PACK	前1月上網上傳封包
DT1_DATA_RTD_CNT	前1月上網次數
DT2_DATA_RTD_DUR	前2月上網分鐘數
DT2_DATA_RTD_DWN_PACK	前2月上網下載封包
DT2_DATA_RTD_UP_PACK	前2月上網上傳封包
DT2_DATA_RTD_CNT	前2月上網次數
DT3_DATA_RTD_DUR	前3月上網分鐘數
DT3_DATA_RTD_DWN_PACK	前3月上網下載封包
DT3_DATA_RTD_UP_PACK	前3月上網上傳封包
DT3_DATA_RTD_CNT	前3月上網次數
VO1_MIN	前1月發送分鐘數
VO1_CNT	前1月發送次數
VO1_PTYCNT	前1月發送對象數
VO1_CHTMIN	前1月網內分鐘數
VO1_TWMMIN	前1月發送台灣大分鐘數
VO1_FETMIN	前1月發送遠傳分鐘數
VO1_CHTCNT	前1月發送網內次數
VO1_TWMCNT	前1月發送台灣大次數
VO1_FETCNT	前1月發送遠傳次數
VO1_CHTPTYCNT	前1月發送網內對象數
VO1_TWMPTYCNT	前1月發送台灣大對象數
VO1_FETPTYCNT	前1月發送遠傳對象數
VO2_MIN	前2月發送分鐘數
VO2_CNT	前2月發送次數
VO2_PTYCNT	前2月發送對象數
VO2_CHTMIN	前2月網內分鐘數
VO2_TWMMIN	前2月發送台灣大分鐘數
VO2_FETMIN	前2月發送遠傳分鐘數
VO2_CHTCNT	前2月發送網內次數
VO2_TWMCNT	前2月發送台灣大次數
VO2_FETCNT	前2月發送遠傳次數
VO2_CHTPTYCNT	前2月發送網內對象數
VO2_TWMPTYCNT	前2月發送台灣大對象數
VO2_FETPTYCNT	前2月發送遠傳對象數
VO3_MIN	前3月發送分鐘數
VO3_CNT	前3月發送次數
VO3_PTYCNT	前3月發送對象數
VO3_CHTMIN	前3月發送網內分鐘數
VO3_TWMMIN	前3月發送台灣大分鐘數
VO3_FETMIN	前3月發送遠傳分鐘數
VO3_CHTCNT	前3月發送網內次數
VO3_TWMCNT	前3月發送台灣大次數
VO3_FETCNT	前3月發送遠傳次數
VO3_CHTPTYCNT	前3月發送網內對象數
VO3_TWMPTYCNT	前3月發送台灣大對象數
VO3_FETPTYCNT	前3月發送遠傳對象數
SMS1_CNT	前1月SMS數
SMS2_CNT	前2月SMS數
SMS3_CNT	前3月SMS數
TENURE_MONTH_CNT	租期
PREPAID_IND	是否預付卡
GENDER_TYPE_CD	性別
SUBSCTN_AGE	年齡
NTW_SERVICE_TYPE_CD	資費類型
OFFER_SERVICE_TYPE_CD	資費類型
OFFER_ID	資費費率
BRANCH_CHANNEL_ID	營運處
SC_CHANNEL_ID	服務中心
AGENT_CHANNEL_ID	代理門市
MPRO_MEMBER_IND	申裝mPro
NP_IN_IND	之前有NPIN
NP_FROM_CARRIER_CD	NPIN業者
NP_OUT_IND	是否NPOUT
NP_TO_CARRIER_CD	NPOUT業者
HANDSET_RETN_CONTR_IND	是否提前購機
HANDSET_CONTR_EXP_MONTH_CNT	提前購機次數
HIST_HANDSET_CONTR_CNT	手機綁約次數
HIST_HANDSET_PURCHASE_CNT	手機購買次數
AVG_HANDSET_PURCHASE_AMT	平均手機購買金額
LAST_HANDSET_PURCHASE_AMT	最近手機購買金額
OFFER_2GTO3G_IND	2G轉3G
OFFER_3GTO2G_IND	3G轉2G
OFFER_2GTO4G_IND	2G轉4G
OFFER_3GTO4G_IND	3G轉4G
OFFER_4GTO2G_IND	4G轉2G
OFFER_4GTO3G_IND	4G轉3G
VB1_TOT_PTYCNT	前1月接收對象數
VB1_TOT_CNT	前1月接收次數
VB1_TOT_DUR	前1月接收分鐘數
VB1_TWM_PTYCNT	前1月台灣大接收對象數
VB1_TWM_CNT	前1月台灣大接收次數
